ID,Country,Department_Province,Location,Longitude ,Latitude,altitud_m,Record,Source,RecordType
PE125,Peru,Cajamarca / San Ignacio,SNTN,-79.310973,-5.260096,2185,Footprint,Consorcio SEINNOVA 2018,Literature
PE126,Peru,Cajamarca / San Ignacio,SNTN,-79.311027,-5.260096,2185,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE127,Peru,Cajamarca / San Ignacio,SNTN,-79.311009,-5.260195,2185,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE128,Peru,Cajamarca / San Ignacio,SNTN,-79.300125,-5.262309,2640,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE129,Peru,Cajamarca / San Ignacio,SNTN,-79.310461,-5.262644,2160,Footprint,Consorcio SEINNOVA 2018,Literature
PE130,Peru,Cajamarca / San Ignacio,SNTN,-79.310343,-5.262897,2165,Footprint,Consorcio SEINNOVA 2018,Literature
PE131,Peru,Cajamarca / San Ignacio,SNTN,-79.310079,-5.263828,2175,Footprint,Consorcio SEINNOVA 2018,Literature
PE132,Peru,Cajamarca / San Ignacio,ACP Tabaconas,-79.276633,-5.264374,3545,Unknown,Ortega-Andrade et al 2015,Literature
PE133,Peru,Cajamarca / San Ignacio,SNTN,-79.310266,-5.264678,2180,Footprint,Consorcio SEINNOVA 2018,Literature
PE134,Peru,Cajamarca / San Ignacio,SNTN,-79.310701,-5.267582,2190,Footprint,Consorcio SEINNOVA 2018,Literature
PE135,Peru,Cajamarca / San Ignacio,SNTN,-79.31526,-5.269367,2120,Footprint,Consorcio SEINNOVA 2018,Literature
PE136,Peru,Cajamarca / San Ignacio,SNTN,-79.315639,-5.269549,2115,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE137,Peru,Cajamarca / San Ignacio,SNTN,-79.331217,-5.269699,2880,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE138,Peru,Cajamarca / San Ignacio,SNTN,-79.31239,-5.270092,2190,Footprint,Consorcio SEINNOVA 2018,Literature
PE139,Peru,Cajamarca / San Ignacio,SNTN,-79.315282,-5.271221,2110,Footprint,Consorcio SEINNOVA 2018,Literature
PE140,Peru,Cajamarca / San Ignacio,ACP Tabaconas,-79.27017,-5.271278,3100,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE141,Peru,Cajamarca / San Ignacio,ACP Tabaconas,-79.270018,-5.269688,3190,Faeces,Hiyo 2018,Literature
PE142,Peru,Cajamarca / San Ignacio,SNTN,-79.314676,-5.271934,2135,Footprint,Consorcio SEINNOVA 2018,Literature
PE143,Peru,Cajamarca / San Ignacio,ACP Tabaconas,-79.269829,-5.273719,3005,Faeces,Hiyo 2018,Literature
PE144,Peru,Cajamarca / San Ignacio,SNTN,-79.323098,-5.272829,2465,Faeces,Hiyo 2018,Literature
PE145,Peru,Cajamarca / San Ignacio,SNTN,-79.321223,-5.276174,2310,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE146,Peru,Cajamarca / San Ignacio,SNTN,-79.316877,-5.278595,2040,Footprint,Consorcio SEINNOVA 2018,Literature
PE147,Peru,Cajamarca / San Ignacio,SNTN,-79.316875,-5.279454,2040,Footprint,Consorcio SEINNOVA 2018,Literature
PE148,Peru,Cajamarca / San Ignacio,SNTN,-79.316288,-5.279461,2050,Photo,Cam trap WWF & SERNANP-SNTN project,Cam trap
PE149,Peru,Cajamarca / San Ignacio,SNTN,-79.318266,-5.281981,2120,Footprint,Consorcio SEINNOVA 2018,Literature
PE150,Peru,Cajamarca / San Ignacio,ACP Tabaconas,-79.273287,-5.286971,2310,"Feaces, tracks",Fieldwork Zoila Vega,Sightings
PE151,Peru,Cajamarca / San Ignacio,ACR Chaupe,-79.040723,-5.287372,1965,Footprint,Fieldwork Jessica Amanzo,Sightings
PE152,Peru,Cajamarca / San Ignacio,ACR Chaupe,-79.034966,-5.297707,1885,Unknown,Ortega-Andrade et al 2015,Literature
PE153,Peru,Piura / Huancabamba,Cashainamo,-79.315236,-5.482584,3105,Faeces,Fieldwork Alexander More & Katty Carrillo,Sightings
PE154,Peru,Piura / Huancabamba,Quevedos,-79.274817,-5.516239,3400,"Bones, photo",Fieldwork Jeasmire Nuñez,Sightings
PE155,Peru,Cajamarca / Jaen,San Felipe,-79.212674,-5.742381,3360,Faeces,"Fieldwork Alexander More, Katty Carrillo, Elio Nuñez",Sightings
PE156,Peru,Lambayeque / Ferreñafe,Kañaris,-79.301633,-6.10604,3520,Unknown,Ortega-Andrade et al 2015,Literature
PE157,Peru,Lambayeque / Ferreñafe,Kañaris,-79.268299,-6.122707,3035,Unknown,Ortega-Andrade et al 2015,Literature
PE158,Peru,Lambayeque / Ferreñafe,Kañaris,-79.293299,-6.122707,3450,Unknown,Ortega-Andrade et al 2015,Literature
PE159,Peru,Cajamarca / Cutervo,Gramalote,-79.243299,-6.139374,2660,Unknown,Ortega-Andrade et al 2015,Literature
PE160,Peru,Lambayeque / Ferreñafe,Kañaris,-79.301633,-6.139374,3575,Unknown,Ortega-Andrade et al 2015,Literature
PE161,Peru,Lambayeque / Ferreñafe,Kañaris,-79.276633,-6.147707,3455,Unknown,Ortega-Andrade et al 2015,Literature
PE162,Peru,Lambayeque / Ferreñafe,Kañaris,-79.284966,-6.147707,3455,Unknown,Ortega-Andrade et al 2015,Literature
PE163,Peru,Cajamarca / Cutervo,NP Cutervo,-78.810226,-6.244303,2600,Plotted from reference,ONERN 1977,Literature
PE164,Peru,Cajamarca / Chota,FP Pagaibamba,-79.07564,-6.41216,3100,Footprint,Jimenez et al 2010,Literature
PE165,Peru,Cajamarca / Chota,Samadayo,-78.964073,-6.45226,2200,Plotted from reference,Peyton 1980,Literature
PE166,Peru,Cajamarca / Cutervo,Gramalote,-79.23886,-6.107503,3310,Photo,Cam trap SBC project,Cam trap
PE167,Peru,Cajamarca / Cutervo,Gramalote,-79.224337,-6.117754,2800,Photo,Cam trap SBC project,Cam trap
PE168,Peru,Cajamarca / Cutervo,Gramalote,-79.218285,-6.150349,2555,Photo,Cam trap SBC project,Cam trap
PE169,Peru,Cajamarca / Cutervo,Gramalote,-79.219332,-6.153237,2650,Photo,Cam trap SBC project,Cam trap
PE170,Peru,Cajamarca / Cutervo,Gramalote,-79.215734,-6.154029,2660,Photo,Cam trap SBC project,Cam trap
PE171,Peru,Cajamarca / Cutervo,Tucto,-79.213317,-6.21736,3275,Photo,Cam trap SBC project,Cam trap
PE172,Peru,Cajamarca / Cutervo,Tucto,-79.21481,-6.189887,3365,Photo,Cam trap SBC project,Cam trap
PE173,Peru,Cajamarca / Cutervo,Tucto,-79.220259,-6.192256,3420,Photo,Cam trap SBC project,Cam trap
PE174,Peru,Cajamarca / Cutervo,Tucto,-79.228547,-6.191361,3375,Photo,Cam trap SBC project,Cam trap
PE175,Peru,Cajamarca / Cutervo,Tucto,-79.243877,-6.189206,3390,Photo,Cam trap SBC project,Cam trap
PE176,Peru,Cajamarca / Cutervo,Tucto,-79.252719,-6.1873,3325,Photo,Cam trap SBC project,Cam trap
PE177,Peru,Cajamarca / Cutervo,Tucto,-79.24317,-6.181708,3270,Photo,Cam trap SBC project,Cam trap
PE178,Peru,Cajamarca / Cutervo,Tucto,-79.236742,-6.18562,3290,Photo,Cam trap SBC project,Cam trap
EC001,Ecuador,"Carchi, Tulcan",Unknown,-77.643299,0.677293,3507,Unknown,Ortega-Andrade et al 2015,Literature
EC002,Ecuador,"Carchi, Montufar",Unknown,-77.693299,0.56896,3497,Unknown,Ortega-Andrade et al 2015,Literature
EC003,Ecuador,"Carchi, Montufar",Unknown,-77.776633,0.49396,3379,Unknown,Ortega-Andrade et al 2015,Literature
EC004,Ecuador,Napo,Unknown,-78.10959,-0.213266,3411,Observation,GBIF,Databases
EC005,Ecuador,"Pichincha, Quito",Unknown,-78.251633,-0.214373,3746,Unknown,Ortega-Andrade et al 2015,Literature
EC006,Ecuador,Tungurahua,Cordillera de Llanganates,-78.25,-0.216667,3772,Specimen,GBIF,Databases
EC007,Ecuador,Napo,Unknown,-78.091926,-0.227763,3564,Observation,GBIF,Databases
EC008,Ecuador,"Napo, Quijos",Unknown,-78.118299,-0.272707,4026,Unknown,Ortega-Andrade et al 2015,Literature
EC009,Ecuador,"Napo, El Chaco",Unknown,-77.801633,-0.289373,1736,Unknown,Ortega-Andrade et al 2015,Literature
EC010,Ecuador,Napo,Unknown,-78.071378,-0.289658,4063,Observation,GBIF,Databases
EC011,Ecuador,"Napo, Quijos",Unknown,-78.118299,-0.297707,3766,Unknown,Ortega-Andrade et al 2015,Literature
EC012,Ecuador,"Napo, Quijos",Unknown,-78.143299,-0.314373,3802,Unknown,Ortega-Andrade et al 2015,Literature
EC013,Ecuador,"Napo, Quijos",Unknown,-78.143299,-0.33104,3578,Unknown,Ortega-Andrade et al 2015,Literature
EC014,Ecuador,Napo,Unknown,-78.01363,-0.354275,3848,Observation,GBIF,Databases
EC015,Ecuador,"Napo, Quijos",Unknown,-78.101633,-0.35604,3614,Unknown,Ortega-Andrade et al 2015,Literature
EC016,Ecuador,"Napo, El Chaco",Unknown,-77.851633,-0.364373,1914,Unknown,Ortega-Andrade et al 2015,Literature
EC017,Ecuador,"Napo, Quijos",Unknown,-78.218299,-0.364373,4108,Unknown,Ortega-Andrade et al 2015,Literature
EC018,Ecuador,Napo,Unknown,-78.118401,-0.364331,3428,Unknown,Ortega-Andrade et al 2015,Literature
EC019,Ecuador,Napo,Unknown,-78.078499,-0.374536,2700,Observation,GBIF,Databases
EC020,Ecuador,"Napo, Quijos",Unknown,-78.084966,-0.389373,3369,Unknown,Ortega-Andrade et al 2015,Literature
EC021,Ecuador,"Napo, Quijos",Unknown,-78.209966,-0.40604,3872,Unknown,Ortega-Andrade et al 2015,Literature
EC022,Ecuador,"Napo, Quijos",Unknown,-78.201633,-0.422707,3733,Unknown,Ortega-Andrade et al 2015,Literature
EC023,Ecuador,"Pichincha, Quito",Bosque Protectora Pasochoa,-78.483,-0.433,3256,Observation,GBIF,Databases
EC024,Ecuador,"Napo, Quijos",Unknown,-78.218299,-0.439373,4071,Unknown,Ortega-Andrade et al 2015,Literature
EC025,Ecuador,"Napo, Quijos",Unknown,-78.009966,-0.447707,2455,Unknown,Ortega-Andrade et al 2015,Literature
EC026,Ecuador,Napo,Unknown,-77.975943,-0.474797,3271,Observation,GBIF,Databases
EC027,Ecuador,Napo,Unknown,-77.840065,-0.738437,1485,Observation,GBIF,Databases
EC028,Ecuador,Napo,Unknown,-78.33647,-0.809224,3923,Observation,GBIF,Databases
EC029,Ecuador,"Tunguragua, Santiago Pillero",Unknown,-78.426633,-1.197707,3966,Unknown,Ortega-Andrade et al 2015,Literature
EC030,Ecuador,"Tunguragua, Baños",Unknown,-78.251633,-1.214373,2730,Unknown,Ortega-Andrade et al 2015,Literature
EC031,Ecuador,Tungurahua,Cordillera de los Llanganates,-78.25005,-1.21694,2702,Specimen,GBIF,Databases
EC032,Ecuador,"Tunguragua, Baños",Unknown,-78.309966,-1.222707,3961,Unknown,Ortega-Andrade et al 2015,Literature
EC033,Ecuador,"Tunguragua, Baños",Unknown,-78.284966,-1.222707,4278,Unknown,Ortega-Andrade et al 2015,Literature
EC034,Ecuador,"Tunguragua, Patate",Unknown,-78.326633,-1.23104,3722,Unknown,Ortega-Andrade et al 2015,Literature
EC035,Ecuador,"Tunguragua, Baños",Unknown,-78.293299,-1.239373,4049,Unknown,Ortega-Andrade et al 2015,Literature
EC036,Ecuador,"Tunguragua, Patate",Unknown,-78.359966,-1.247707,3093,Unknown,Ortega-Andrade et al 2015,Literature
EC037,Ecuador,"Tunguragua, Patate",Unknown,-78.334966,-1.247707,3879,Unknown,Ortega-Andrade et al 2015,Literature
EC038,Ecuador,"Tunguragua, Patate",Unknown,-78.343299,-1.25604,3839,Unknown,Ortega-Andrade et al 2015,Literature
EC039,Ecuador,"Tunguragua, Patate",Unknown,-78.368299,-1.264373,3140,Unknown,Ortega-Andrade et al 2015,Literature
EC040,Ecuador,"Tunguragua, Patate",Unknown,-78.384966,-1.272707,2734,Unknown,Ortega-Andrade et al 2015,Literature
EC041,Ecuador,"Tunguragua, Patate",Unknown,-78.401633,-1.30604,2559,Unknown,Ortega-Andrade et al 2015,Literature
EC042,Ecuador,"Tunguragua, Baños",Unknown,-78.401633,-1.35604,2277,Unknown,Ortega-Andrade et al 2015,Literature
EC043,Ecuador,"Tunguragua, Baños",Unknown,-78.143299,-1.364373,2243,Unknown,Ortega-Andrade et al 2015,Literature
EC044,Ecuador,"Tunguragua, Baños",Unknown,-78.159966,-1.38104,1564,Unknown,Ortega-Andrade et al 2015,Literature
EC045,Ecuador,"Tunguragua, Baños",Unknown,-78.418299,-1.397707,1803,Unknown,Ortega-Andrade et al 2015,Literature
EC046,Ecuador,"Tunguragua, Baños",Unknown,-78.168299,-1.397707,1468,Unknown,Ortega-Andrade et al 2015,Literature
EC047,Ecuador,"Tunguragua, Baños",Unknown,-78.043299,-1.40604,1153,Unknown,Ortega-Andrade et al 2015,Literature
EC048,Ecuador,"Tunguragua, Baños",Unknown,-78.309966,-1.422707,1597,Unknown,Ortega-Andrade et al 2015,Literature
EC049,Ecuador,"Tunguragua, Baños",Unknown,-78.401633,-1.447707,3132,Unknown,Ortega-Andrade et al 2015,Literature
EC050,Ecuador,"Tunguragua, Baños",Unknown,-78.384966,-1.447707,3123,Unknown,Ortega-Andrade et al 2015,Literature
EC051,Ecuador,"Tunguragua, Baños",Unknown,-78.309966,-1.447707,2204,Unknown,Ortega-Andrade et al 2015,Literature
EC052,Ecuador,"Chimborazo, Penipe",Unknown,-78.476633,-1.45604,3072,Unknown,Ortega-Andrade et al 2015,Literature
EC053,Ecuador,"Tunguragua, San Pedro Pelileo",Unknown,-78.468299,-1.45604,3391,Unknown,Ortega-Andrade et al 2015,Literature
EC054,Ecuador,"Tunguragua, Baños",Unknown,-78.384966,-1.472707,3514,Unknown,Ortega-Andrade et al 2015,Literature
EC055,Ecuador,"Tunguragua, Baños",Unknown,-78.384966,-1.489373,3620,Unknown,Ortega-Andrade et al 2015,Literature
EC056,Ecuador,"Chimborazo, Penipe",Unknown,-78.401633,-1.497707,3565,Unknown,Ortega-Andrade et al 2015,Literature
EC057,Ecuador,"Chimborazo, Penipe",Unknown,-78.476633,-1.514373,2439,Unknown,Ortega-Andrade et al 2015,Literature
EC058,Ecuador,"Chimborazo, Penipe",Unknown,-78.451633,-1.522707,2896,Unknown,Ortega-Andrade et al 2015,Literature
EC059,Ecuador,"Chimborazo, Penipe",Unknown,-78.426633,-1.522707,3140,Unknown,Ortega-Andrade et al 2015,Literature
EC060,Ecuador,"Chimborazo, Penipe",Unknown,-78.401633,-1.522707,3198,Unknown,Ortega-Andrade et al 2015,Literature
EC061,Ecuador,Tungurahua,Unknown,-78.251725,-1.569187,2253,Observation,GBIF,Databases
EC062,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.368299,-1.789373,2460,Unknown,Ortega-Andrade et al 2015,Literature
EC063,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.376633,-1.80604,3279,Unknown,Ortega-Andrade et al 2015,Literature
EC064,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.434966,-1.972707,3421,Unknown,Ortega-Andrade et al 2015,Literature
EC065,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.409966,-1.972707,3233,Unknown,Ortega-Andrade et al 2015,Literature
EC066,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.384966,-1.98104,3117,Unknown,Ortega-Andrade et al 2015,Literature
EC067,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.368299,-1.98104,3426,Unknown,Ortega-Andrade et al 2015,Literature
EC068,Ecuador,"Morona Santiago, Huamboya",Unknown,-78.359966,-1.989373,3808,Unknown,Ortega-Andrade et al 2015,Literature
EC069,Ecuador,Morona Santiago,,-78.340333,-2.005264,5252,Observation,GBIF,Databases
EC070,Ecuador,Morona Santiago,,-78.565577,-2.126483,3779,Observation,GBIF,Databases
EC071,Ecuador,Morona Santiago,,-78.643011,-3.101066,2880,Observation,GBIF,Databases
EC072,Ecuador,"Zamora Chinchipe, Yacuambi",Unknown,-78.984966,-3.60604,2045,Unknown,Ortega-Andrade et al 2015,Literature
EC073,Ecuador,"Loja, Loja",Unknown,-79.143299,-4.03104,2930,Unknown,Ortega-Andrade et al 2015,Literature
